0.9,1.6721430748278276e-14,1514048244458986.8,2.976829242384492e-14,4180289042886963.0, 0.4571989559251856
0.91,1.597759830952671e-14,1448557380690370.8,2.932672517659156e-14,4119445478022740.5, 0.550585794496556
0.92,1.534569008601945e-14,1412277259306647.0,2.894867007011125e-14,4079190679802465.0, 0.639570986543728
0.93,1.4823535399088772e-14,1399464167768768.0,2.8632066060382046e-14,4054606065439456.0, 0.7206565132020227
0.94,1.4402492021084955e-14,1404553767868703.5,2.8374873451608287e-14,4043353559664248.0, 0.7915501416250416
0.95,1.4070741329992422e-14,1422397148141076.5,2.8169156020754478e-14,4042636531822714.0, 0.8512263052624901
0.96,1.381468064949532e-14,1448730555546071.5,2.8008392215112345e-14,4049669371722956.5, 0.8997388528871788
0.97,1.3621187036729435e-14,1480305114286816.0,2.7885672949442458e-14,4061977533127723.0, 0.9379083875862364
0.98,1.347809914684012e-14,1515378178135616.5,2.779474857615005e-14,4077537415385393.5, 0.9669910205251502
0.99,1.3374633411150069e-14,1553402986079303.5,2.7728451804365014e-14,4094799053103497.5, 0.9883596379565794
1.0,1.3302218615690553e-14,1591135708281444.0,2.7681295886165713e-14,4112640254196635.0, 1.0
