-150,6.389979957930048e+16,6.4151444704767864e+16
-145,6.384667903229054e+16,6.4151444704767864e+16
-140,6.384005232201909e+16,6.4151444704767864e+16
-135,6.38164156677452e+16,6.4151444704767864e+16
-130,6.37961523404528e+16,6.4151444704767864e+16
-125,4.152558575653925e+16,6.4151444704767864e+16
-120,3.653939023156635e+16,6.4151444704767864e+16
-115,3.568497382317621e+16,6.4151444704767864e+16
-110,2.973687972705883e+16,6.4151444704767864e+16
-105,2.5135840930047856e+16,6.4151444704767864e+16
-100,2.286887781322571e+16,6.414448802349944e+16
-95,2.021942897604272e+16,6.413190448795961e+16
-90,1.8035098170490696e+16,6.411159702304039e+16
-85,1.6309538096574972e+16,6.407758884512518e+16
-80,1.4530038190235212e+16,6.39770899074375e+16
-75,1.2960816779375124e+16,5.01082642699072e+16
-70,1.1293134261699208e+16,4.39653224950539e+16
-65,9683440810670168.0,3.9334320759736936e+16
-60,8106184001327197.0,3.521213248386852e+16
-55,6579706470459130.0,3.1166141650786932e+16
-50,5130278930839579.0,2.703784348943031e+16
-45,3803388611242079.0,2.275449362613435e+16
-40,2682498453824157.0,1.827408535961452e+16
-35,1851592560055926.5,1.3617250032264096e+16
-30,1297532443553022.0,9007962442739396.0
-25,942759181321179.0,4991819421873898.0
-20,716281232780512.5,3084856113235607.5
-15,575669359094865.2,3785912620305398.0
-10,1783327637314114.0,4410265309678787.5
-5,3348010475945479.5,5151595298035654.0
