0.9,2.287178993856087e+16,2.512242177858908e+16
0.91,2.061469111990491e+16,2.276508449018254e+16
0.92,1.852014017922856e+16,2.0567744866148124e+16
0.93,1.6606901109873348e+16,1.8556192116984696e+16
0.94,1.4902186229095176e+16,1.6746020538149624e+16
0.95,1.3376984806845648e+16,1.5115150469593796e+16
0.96,1.206797272316798e+16,1.3683829560223026e+16
0.97,1.066224926514603e+16,1.2373652708620238e+16
0.98,9873660595123934.0,1.1362744527867478e+16
0.99,9300710153723936.0,1.0551397232380748e+16
1.0,8815007336210978.0,9530184027750348.0
