Wavelength_nm,Normalized_Intensity
730,0.0
731,3.8166334959910547e-07
732,4.425202018311601e-07
733,5.126607812875882e-07
734,5.934337312048932e-07
735,6.863730103044742e-07
736,7.932230308539725e-07
737,9.159636533107988e-07
738,1.0568425092857874e-06
739,1.2184063032476578e-06
740,1.403540425780375e-06
741,1.6155097745457394e-06
742,1.8580051866045126e-06
743,2.135197683277556e-06
744,2.4517925443065506e-06
745,2.8130986024968225e-06
746,3.225095428733719e-06
747,3.694514699332581e-06
748,4.228929900789725e-06
749,4.836847977731451e-06
750,5.527825257146737e-06
751,6.312579376992566e-06
752,7.203122495758206e-06
753,8.212911768109218e-06
754,9.356997695954017e-06
755,1.0652211151505933e-05
756,1.2117352366455285e-05
757,1.3773395053404434e-05
758,1.5643736287334974e-05
759,1.7754436556468994e-05
760,2.0134498767001384e-05
761,2.2816191689259876e-05
762,2.5835360438405043e-05
763,2.9231798386830035e-05
764,3.304966143636144e-05
765,3.733787080014188e-05
766,4.215059659676541e-05
767,4.754778850812906e-05
768,5.359569395924051e-05
769,6.036747336840086e-05
770,6.794388108090059e-05
771,7.64139250841447e-05
772,8.587563387313745e-05
773,9.643692723618745e-05
774,0.00010821645172721184
775,0.00012134452107009065
776,0.0001359642069492171
777,0.00015223240800451722
778,0.00017032098864861855
779,0.00019041809471582698
780,0.00021272954213583803
781,0.0002374801863501609
782,0.0002649154668181905
783,0.00029530315319302143
784,0.0003289350431022188
785,0.00036612876871688454
786,0.00040722981388025844
787,0.0004526137118384634
788,0.000502688154751156
789,0.0005578953040114101
790,0.0006187143332660235
791,0.0006856641289446485
792,0.0007593058989635957
793,0.0008402460226837083
794,0.0009291391355015754
795,0.0010266914159890647
796,0.0011336637316261679
797,0.0012508750379606323
798,0.0013792059798819944
799,0.0015196027951373961
800,0.0016730810452148196
801,0.0018407295003244435
802,0.00202371423049565
803,0.002223282938369466
804,0.002440769403015467
805,0.002677597708197804
806,0.0029352867214626505
807,0.003215454675369247
808,0.003519823965229976
809,0.0038502259142092995
810,0.004208605283433329
811,0.004597024964394726
812,0.005017670668959954
813,0.005472855662481119
814,0.0059650255298897645
815,0.006496762440669685
816,0.00707078943334995
817,0.007689974582361397
818,0.008357334960558453
819,0.009076040484131746
820,0.009849417425825778
821,0.010680951297770877
822,0.011574289527614703
823,0.012533243719653968
824,0.013561791425319873
825,0.014664077399610393
826,0.015844414370266898
827,0.017107282834617436
828,0.0184573301837159
829,0.01989936909468685
830,0.021438375048662667
831,0.02307948290270653
832,0.02482798244792802
833,0.026689312948342717
834,0.028669056391291456
835,0.03077292944781636
836,0.03300677420669347
837,0.03537654753110982
838,0.03788830896876774
839,0.04054820715305599
840,0.04336246463791803
841,0.04633736111644371
842,0.04947921496869835
843,0.052794363075515084
844,0.056289138933069034
845,0.05996984903115634
846,0.06384274747335433
847,0.06791400883722122
848,0.07218969928169097
849,0.0766757459174307
850,0.0813779044639806
851,0.08630172522475893
852,0.09145251741465425
853,0.0968353118383574
854,0.10245482205724503
855,0.10831540409981592
856,0.11442101469317041
857,0.1207751681051641
858,0.1273808916613952
859,0.1342406800057264
860,0.14135644818096865
861,0.14872948361757482
862,0.1563603971335559
863,0.1642490730694759
864,0.17239461870915412
865,0.18079531317040365
866,0.18944855599140947
867,0.19835081568728072
868,0.2074975786079259
869,0.21688329849189802
870,0.2265013471800373
871,0.23634396702590582
872,0.24640222561442707
873,0.25666597346876374
874,0.2671238055040192
875,0.27776302704778555
876,0.28856962525703145
877,0.2995282468181638
878,0.310622182811044
879,0.3218333615896901
880,0.33314235047410523
881,0.34452836695520517
882,0.3559692999863643
883,0.36744174177128763
884,0.37892103026055185
885,0.39038130234276563
886,0.4017955574673767
887,0.4131357311738073
888,0.42437277773697685
889,0.4354767608858984
890,0.44641695132473663
891,0.45716192960076074
892,0.46767969273743243
893,0.47793776299944435
894,0.48790329719427666
895,0.4975431950544272
896,0.506824205498523
897,0.5157130299183248
898,0.5241764221148589
899,0.5321812850811508
900,0.5396947654826814
901,0.5466843474004817
902,0.5531179476413998
903,0.5589640156453726
904,0.5641916416840481
905,0.5687706775975993
906,0.5726718747031267
907,0.5758670436747757
908,0.5783292410917692
909,0.5800329869316909
910,0.5809545165184113
911,0.5810720692968319
912,0.5803662152971683
913,0.5788202182872363
914,0.5764204324322575
915,0.573156726868405
916,0.5690229308597663
917,0.5640172880385117
918,0.5581429044086075
919,0.5514081763575797
920,0.5438271803524641
921,0.5354200050632644
922,0.5262130060890825
923,0.5162389637095334
924,0.5055371253414563
925,0.49415311673467466
926,0.482138709429698
927,0.46955143660893683
928,0.4564540560966469
929,0.44291386308460123
930,0.4290018582746022
931,0.4147918009433381
932,0.4003591725940214
933,0.3857800857889102
934,0.3711301802700272
935,0.35648355390111236
936,0.34191177964115094
937,0.3274830611837942
938,0.3132615748585525
939,0.2993070534851393
940,0.28567466438638
941,0.2724151986144681
942,0.25957559034744154
943,0.247199766799743
944,0.23532980995211222
945,0.22400739130410763
946,0.21327542388069862
947,0.20317986499056248
948,0.19377153715121434
949,0.18510784302152927
950,0.1772542469286494
951,0.17028538130337537
952,0.16428563673844748
953,0.15934910291615473
954,0.15557874409783318
955,0.15308462478206278
956,0.15198116413714416
957,0.15238344030011886
958,0.15440256098376495
959,0.15814018911726707
960,0.1636823461584056
961,0.1710925486082898
962,0.1804048227012616
963,0.19161694565571183
964,0.20468419849165903
965,0.21951405592273845
966,0.23596220517018754
967,0.2538300889552159
968,0.2728649966486474
969,0.2927630236808622
970,0.3131746233770223
971,0.33371301514145824
972,0.35396542306003187
973,0.3735072274349397
974,0.39191898799341846
975,0.4088049287479194
976,0.4238121917000035
977,0.4366501190219734
978,0.4471089737066503
979,0.4550773967178447
980,0.460554794623901
981,0.4636590935559912
982,0.46462910326537354
983,0.46382079741314597
984,0.46169703702994236
985,0.4588074249145232
986,0.4557613607439709
987,0.453195735088318
988,0.4517376840846816
989,0.4519619002371027
990,0.45434604701646314
991,0.4592298262975994
992,0.46677839208982613
993,0.4769516264813767
994,0.48947938006954395
995,0.5038548309463112
996,0.5193429647892345
997,0.5350018066279209
998,0.5497172486163701
999,0.5622557678564756
1000,0.5713344528627299
1001,0.5756956819965998
1002,0.5741861275594786
1003,0.5658435105568311
1004,0.5499801930276657
1005,0.5262477676483595
1006,0.49468778597793434
1007,0.4557698473605314
1008,0.4104088031613898
1009,0.3599368672608808
1010,0.3060570577312961
1011,0.25077748247481363
1012,0.19631918104418597
1013,0.14499147529305711
1014,0.099067765238207
1015,0.060661115471526056
1016,0.03158626399954357
1017,0.013238130313572858
1018,0.006506694384539286
1019,0.01171111151538085
1020,0.028543768953787754
1021,0.05607544708839481
1022,0.09280697575065437
1023,0.13673488076863746
1024,0.18544242411337022
1025,0.23624673602238394
1026,0.286349319882688
1027,0.33298050399561807
1028,0.37356685831886277
1029,0.40588424058621103
1030,0.4281674961330228
1031,0.4392080687610791
1032,0.438446100356895
1033,0.4259751819672878
1034,0.4025208433986631
1035,0.3694127128773658
1036,0.32850628047433816
1037,0.28204874784578976
1038,0.23256249907824406
1039,0.18271118388801336
1040,0.13513631429979112
1041,0.09232780487355743
1042,0.056507133671874224
1043,0.02949620946862978
1044,0.012652549194375175
1045,0.006832163569337666
1046,0.012342570078224929
1047,0.028953173672198462
1048,0.055955998177655786
1049,0.09220926591530672
1050,0.13620410824696452
1051,0.18618172046127002
1052,0.24022108962864205
1053,0.2963340494812025
1054,0.3525767048551996
1055,0.4071250784396889
1056,0.4583494330689415
1057,0.5048903357915571
1058,0.5456805203654741
1059,0.5799677789797221
1060,0.6073439792134431
1061,0.6277119870550393
1062,0.6412590283310484
1063,0.6484404240324291
1064,0.6499188854240321
1065,0.6465118325238021
1066,0.6391504722552223
1067,0.6288173057061649
1068,0.6164986090209426
1069,0.6031443542936805
1070,0.5896203104312943
1071,0.5766867258965933
1072,0.5649756844798318
1073,0.5549655713901777
1074,0.5469891567587915
1075,0.5412317314805986
1076,0.5377280608005789
1077,0.5363896662144148
1078,0.5370172704125131
1079,0.5393143337074252
1080,0.542918899061169
1081,0.5474205417134855
1082,0.5523817087040424
1083,0.5573620948679859
1084,0.5619324573272128
1085,0.5656954336113516
1086,0.568296315973634
1087,0.5694306499025775
1088,0.568858673247607
1089,0.5664026220186148
1090,0.5619488183524246
1091,0.5554529918210888
1092,0.5469289157110752
1093,0.5364470635305925
1094,0.5241312238338796
1095,0.5101450514064481
1096,0.4946887127953903
1097,0.47799000753072673
1098,0.460294064122678
1099,0.44185832194768354
1100,0.42294304460375776
1101,0.40380602727502113
1102,0.38469619669122723
1103,0.36584801459910693
1104,0.3474797756048132
1105,0.3297872188779249
1106,0.3129437153168999
