Wavelength (nm);Frequency (PHz);Spectrum (arb. u.)
666.82486;0.44958;0.24596
667.67294;0.44901;0.26056
668.52094;0.44844;0.22477
669.36885;0.44787;0.25449
670.21667;0.44731;0.16153
671.0644;0.44674;0.25668
671.91204;0.44618;0.2406
672.75959;0.44562;0.19989
673.60706;0.44506;0.21945
674.45444;0.4445;0.33673
675.30173;0.44394;0.27695
676.14893;0.44338;0.28288
676.99604;0.44283;0.33015
677.84307;0.44227;0.24856
678.69;0.44172;0.29143
679.53685;0.44117;0.25425
680.38361;0.44062;0.22706
681.23029;0.44008;0.2153
682.07687;0.43953;0.27227
682.92337;0.43898;0.26523
683.76977;0.43844;0.23781
684.61609;0.4379;0.2578
685.46233;0.43736;0.20762
686.30847;0.43682;0.1618
687.15453;0.43628;0.26099
688.00049;0.43574;0.19458
688.84637;0.43521;0.17986
689.69216;0.43468;0.2455
690.53786;0.43414;0.23066
691.38348;0.43361;0.28869
692.22901;0.43308;0.21118
693.07444;0.43255;0.14689
693.91979;0.43203;0.22695
694.76505;0.4315;0.20426
695.61023;0.43098;0.26901
696.45531;0.43045;0.30937
697.30031;0.42993;0.28199
698.14522;0.42941;0.23056
698.99004;0.42889;0.23064
699.83477;0.42838;0.20047
700.67942;0.42786;0.22391
701.52397;0.42734;0.26261
702.36844;0.42683;0.19146
703.21282;0.42632;0.20445
704.05711;0.42581;0.23135
704.90132;0.4253;0.18695
705.74543;0.42479;0.2544
706.58946;0.42428;0.32048
707.4334;0.42377;0.28694
708.27725;0.42327;0.27295
709.12101;0.42277;0.27758
709.96469;0.42226;0.22145
710.80827;0.42176;0.3066
711.65177;0.42126;0.29195
712.49518;0.42076;0.22342
713.3385;0.42027;0.21484
714.18174;0.41977;0.15843
715.02488;0.41928;0.26435
715.86794;0.41878;0.36232
716.71091;0.41829;0.27161
717.55379;0.4178;0.30317
718.39658;0.41731;0.29375
719.23929;0.41682;0.31846
720.0819;0.41633;0.18841
720.92443;0.41584;0.2677
721.76687;0.41536;0.2845
722.60922;0.41487;0.17657
723.45149;0.41439;0.22729
724.29366;0.41391;0.30709
725.13575;0.41343;0.27071
725.97775;0.41295;0.30409
726.81966;0.41247;0.22887
727.66148;0.41199;0.23657
728.50322;0.41152;0.24066
729.34486;0.41104;0.16615
730.18642;0.41057;0.21976
731.02789;0.4101;0.2445
731.86927;0.40963;0.25119
732.71057;0.40916;0.20443
733.55177;0.40869;0.24233
734.39289;0.40822;0.26358
735.23392;0.40775;0.24104
736.07486;0.40729;0.27477
736.91571;0.40682;0.26153
737.75648;0.40636;0.35051
738.59715;0.40589;0.25716
739.43774;0.40543;0.28548
740.27824;0.40497;0.34745
741.11865;0.40451;0.29257
741.95898;0.40406;0.35682
742.79921;0.4036;0.19174
743.63936;0.40314;0.29414
744.47942;0.40269;0.26511
745.31939;0.40223;0.22892
746.15927;0.40178;0.25275
746.99907;0.40133;0.23803
747.83878;0.40088;0.29612
748.67839;0.40043;0.2656
749.51792;0.39998;0.29142
750.35737;0.39953;0.16222
751.19672;0.39909;0.19851
752.03598;0.39864;0.32569
752.87516;0.3982;0.23103
753.71425;0.39775;0.25095
754.55325;0.39731;0.18014
755.39217;0.39687;0.27704
756.23099;0.39643;0.24816
757.06973;0.39599;0.28548
757.90837;0.39555;0.30657
758.74694;0.39512;0.34889
759.58541;0.39468;0.27095
760.42379;0.39424;0.21361
761.26209;0.39381;0.31897
762.10029;0.39338;0.3325
762.93841;0.39294;0.24077
763.77644;0.39251;0.23539
764.61439;0.39208;0.30086
765.45224;0.39165;0.27181
766.29001;0.39123;0.23201
767.12769;0.3908;0.27527
767.96528;0.39037;0.27858
768.80278;0.38995;0.28034
769.64019;0.38952;0.34188
770.47752;0.3891;0.34294
771.31476;0.38868;0.28929
772.15191;0.38826;0.29457
772.98897;0.38784;0.39442
773.82594;0.38742;0.32673
774.66282;0.387;0.34492
775.49962;0.38658;0.2981
776.33633;0.38616;0.30408
777.17295;0.38575;0.31625
778.00948;0.38533;0.23988
778.84593;0.38492;0.25334
779.68228;0.38451;0.20707
780.51855;0.38409;0.20715
781.35473;0.38368;0.31084
782.19082;0.38327;0.29034
783.02682;0.38286;0.33069
783.86274;0.38246;0.24298
784.69856;0.38205;0.26482
785.5343;0.38164;0.32691
786.36995;0.38124;0.31807
787.20551;0.38083;0.28664
788.04099;0.38043;0.30498
788.87637;0.38002;0.3327
789.71167;0.37962;0.27257
790.54688;0.37922;0.33423
791.382;0.37882;0.3249
792.21704;0.37842;0.27831
793.05198;0.37802;0.31918
793.88684;0.37763;0.28862
794.72161;0.37723;0.30711
795.55629;0.37683;0.29339
796.39088;0.37644;0.32249
797.22538;0.37604;0.33981
798.0598;0.37565;0.36122
798.89413;0.37526;0.28245
799.72836;0.37487;0.26053
800.56252;0.37448;0.27382
801.39658;0.37409;0.20399
802.23055;0.3737;0.35017
803.06444;0.37331;0.262
803.89824;0.37292;0.24635
804.73195;0.37254;0.33485
805.56557;0.37215;0.33932
806.39911;0.37177;0.2813
807.23255;0.37138;0.32068
808.06591;0.371;0.29793
808.89918;0.37062;0.2868
809.73236;0.37024;0.31782
810.56545;0.36986;0.25941
811.39846;0.36948;0.25145
812.23137;0.3691;0.27661
813.0642;0.36872;0.27143
813.89694;0.36834;0.23394
814.7296;0.36797;0.21409
815.56216;0.36759;0.15943
816.39464;0.36722;0.29769
817.22702;0.36684;0.27992
818.05932;0.36647;0.24842
818.89153;0.3661;0.28169
819.72366;0.36572;0.28287
820.55569;0.36535;0.24783
821.38764;0.36498;0.2297
822.2195;0.36461;0.2513
823.05127;0.36425;0.27974
823.88295;0.36388;0.26573
824.71454;0.36351;0.30123
825.54605;0.36314;0.29609
826.37747;0.36278;0.30778
827.2088;0.36241;0.30583
828.04004;0.36205;0.30955
828.87119;0.36169;0.33482
829.70226;0.36133;0.30141
830.53323;0.36096;0.30905
831.36412;0.3606;0.35867
832.19492;0.36024;0.24105
833.02564;0.35988;0.28165
833.85626;0.35953;0.31396
834.6868;0.35917;0.29979
835.51724;0.35881;0.35503
836.3476;0.35845;0.31161
837.17787;0.3581;0.30302
838.00806;0.35774;0.28371
838.83815;0.35739;0.33302
839.66816;0.35704;0.35241
840.49808;0.35668;0.30622
841.32791;0.35633;0.31608
842.15765;0.35598;0.31852
842.98731;0.35563;0.26961
843.81687;0.35528;0.30755
844.64635;0.35493;0.26027
845.47574;0.35458;0.3777
846.30504;0.35424;0.29611
847.13425;0.35389;0.26771
847.96338;0.35354;0.2857
848.79242;0.3532;0.29686
849.62136;0.35285;0.28288
850.45022;0.35251;0.33059
851.279;0.35217;0.31181
852.10768;0.35182;0.33541
852.93628;0.35148;0.3519
853.76479;0.35114;0.29153
854.59321;0.3508;0.37011
855.42154;0.35046;0.34556
856.24978;0.35012;0.29918
857.07794;0.34978;0.33093
857.906;0.34945;0.27513
858.73398;0.34911;0.32199
859.56187;0.34877;0.3308
860.38967;0.34844;0.36539
861.21739;0.3481;0.32158
862.04501;0.34777;0.30087
862.87255;0.34744;0.31435
863.7;0.3471;0.33306
864.52736;0.34677;0.29311
865.35464;0.34644;0.30787
866.18182;0.34611;0.26606
867.00892;0.34578;0.33492
867.83593;0.34545;0.33652
868.66285;0.34512;0.27035
869.48968;0.34479;0.33643
870.31642;0.34446;0.27537
871.14308;0.34414;0.36349
871.96965;0.34381;0.39055
872.79613;0.34349;0.34588
873.62252;0.34316;0.31007
874.44882;0.34284;0.35238
875.27504;0.34251;0.34002
876.10117;0.34219;0.38069
876.9272;0.34187;0.22415
877.75316;0.34155;0.32752
878.57902;0.34122;0.37291
879.40479;0.3409;0.35397
880.23048;0.34058;0.29123
881.05608;0.34026;0.30762
881.88159;0.33995;0.30913
882.70701;0.33963;0.29371
883.53234;0.33931;0.30456
884.35759;0.33899;0.23917
885.18274;0.33868;0.2567
886.00781;0.33836;0.26519
886.83279;0.33805;0.29469
887.65769;0.33773;0.27388
888.48249;0.33742;0.31403
889.30721;0.33711;0.2745
890.13183;0.3368;0.26638
890.95637;0.33648;0.2496
891.78083;0.33617;0.27366
892.60519;0.33586;0.27645
893.42946;0.33555;0.36477
894.25365;0.33524;0.25365
895.07775;0.33493;0.25346
895.90176;0.33463;0.30865
896.72568;0.33432;0.27245
897.54952;0.33401;0.35069
898.37326;0.33371;0.33452
899.19692;0.3334;0.31743
900.02049;0.3331;0.30291
900.84397;0.33279;0.20718
901.66737;0.33249;0.25977
902.49067;0.33218;0.30456
903.31389;0.33188;0.30849
904.13702;0.33158;0.34396
904.96006;0.33128;0.33663
905.78301;0.33098;0.31
906.60588;0.33068;0.30076
907.42865;0.33038;0.30384
908.25134;0.33008;0.39316
909.07394;0.32978;0.34205
909.89645;0.32948;0.26164
910.71888;0.32918;0.30035
911.54121;0.32889;0.3384
912.36346;0.32859;0.37917
913.18562;0.32829;0.37965
914.00769;0.328;0.36121
914.82967;0.3277;0.30179
915.65157;0.32741;0.27403
916.47337;0.32712;0.3261
917.29509;0.32682;0.35587
918.11672;0.32653;0.3191
918.93826;0.32624;0.31182
919.75972;0.32595;0.25778
920.58108;0.32566;0.3287
921.40236;0.32537;0.36632
922.22355;0.32508;0.35691
923.04465;0.32479;0.33119
923.86566;0.3245;0.30646
924.68659;0.32421;0.30493
925.50742;0.32392;0.29516
926.32817;0.32364;0.25407
927.14883;0.32335;0.45057
927.9694;0.32306;0.34961
928.78989;0.32278;0.34748
929.61028;0.32249;0.25031
930.43059;0.32221;0.29622
931.25081;0.32192;0.33809
932.07094;0.32164;0.28455
932.89098;0.32136;0.25711
933.71094;0.32108;0.28628
934.5308;0.32079;0.25673
935.35058;0.32051;0.28759
936.17027;0.32023;0.25251
936.98987;0.31995;0.24053
937.80939;0.31967;0.30488
938.62881;0.31939;0.31851
939.44815;0.31912;0.30471
940.2674;0.31884;0.35874
941.08656;0.31856;0.33461
941.90563;0.31828;0.32346
942.72462;0.31801;0.25853
943.54351;0.31773;0.31556
944.36232;0.31745;0.31185
945.18104;0.31718;0.28994
945.99967;0.31691;0.25967
946.81822;0.31663;0.27487
947.63667;0.31636;0.33604
948.45504;0.31609;0.33538
949.27332;0.31581;0.33919
950.09151;0.31554;0.37997
950.90961;0.31527;0.33191
951.72763;0.315;0.36857
952.54555;0.31473;0.37965
953.36339;0.31446;0.38667
954.18114;0.31419;0.32897
954.9988;0.31392;0.24447
955.81638;0.31365;0.30563
956.63386;0.31338;0.31897
957.45126;0.31312;0.28032
958.26857;0.31285;0.37901
959.08579;0.31258;0.39464
959.90292;0.31232;0.39906
960.71997;0.31205;0.40742
961.53692;0.31178;0.4298
962.35379;0.31152;0.40838
963.17057;0.31126;0.30309
963.98726;0.31099;0.40435
964.80387;0.31073;0.33616
965.62038;0.31047;0.31443
966.43681;0.3102;0.34663
967.25315;0.30994;0.43419
968.0694;0.30968;0.37905
968.88556;0.30942;0.32379
969.70164;0.30916;0.42312
970.51763;0.3089;0.35548
971.33352;0.30864;0.44394
972.14933;0.30838;0.46022
972.96506;0.30812;0.44925
973.78069;0.30786;0.47834
974.59624;0.30761;0.51436
975.41169;0.30735;0.45446
976.22706;0.30709;0.51357
977.04234;0.30684;0.60978
977.85754;0.30658;0.67199
978.67264;0.30633;0.64806
979.48766;0.30607;0.77389
980.30259;0.30582;0.78937
981.11743;0.30556;0.90782
981.93218;0.30531;0.93525
982.74684;0.30506;1.00493
983.56142;0.3048;1.11116
984.37591;0.30455;1.23463
985.19031;0.3043;1.23073
986.00462;0.30405;1.30867
986.81884;0.3038;1.37625
987.63297;0.30355;1.40326
