Raman_shift_(cm-1),Normalized_intensity,
1361.49232,0.3849,
1362.66321,0.44079,
1363.01803,0.402,
1363.40833,0.42174,
1364.47277,0.38676,
1364.36633,0.39985,
1365.98429,0.38789,
1366.8323,0.40023,
1367.26163,0.41761,
1367.62741,0.43322,
1368.04459,0.44861,
1368.97893,0.41273,
1369.02861,0.43352,
1369.77566,0.39575,
1370.43368,0.37699,
1370.54012,0.41089,
1370.82075,0.35812,
1371.83875,0.39645,
1371.79085,0.37685,
1372.60128,0.40813,
1371.71102,0.35845,
1374.01409,0.40127,
1374.94306,0.39165,
1376.50103,0.40002,
1378.07641,0.39599,
1378.75766,0.38513,
1380.21022,0.39391,
1381.48619,0.4089,
1382.21356,0.42438,
1382.46193,0.44382,
1382.9614,0.46248,
1383.40058,0.48114,
1383.60241,0.51668,
1383.60241,0.49684,
1383.75448,0.54927,
1383.73927,0.53324,
1383.96737,0.61971,
1383.95216,0.59924,
1383.95216,0.58453,
1383.95216,0.57027,
1384.25629,0.6707,
1384.16505,0.65053,
1384.23601,0.6378,
1384.42761,0.72888,
1384.37794,0.7078,
1384.37794,0.69308,
1384.37794,0.68273,
1384.60603,0.77426,
1384.59083,0.75425,
1384.76824,0.74237,
1384.81191,0.82323,
1384.80372,0.8037,
1385.08757,0.78974,
1385.09264,0.85942,
1385.03181,0.83997,
1385.2447,0.88491,
1385.49206,0.91838,
1385.65528,0.90121,
1385.7085,0.94322,
1385.89858,0.98216,
1385.86817,0.96238,
1386.13073,1.01295,
1386.11654,0.99504,
1386.34362,1.05392,
1386.30915,1.03368,
1386.59807,1.09466,
1386.52204,1.07547,
1386.71972,1.13881,
1386.71972,1.11831,
1386.96809,1.10298,
1386.98229,1.17277,
1386.93261,1.15419,
1387.16071,1.21556,
1387.1455,1.19489,
1387.44846,1.26507,
1387.35839,1.24618,
1387.25195,1.23361,
1387.62096,1.29126,
1387.82511,1.32211,
1387.60676,1.31088,
1388.13392,1.02553,
1388.18866,1.05852,
1388.41465,1.1411,
1388.34005,1.12015,
1388.64541,1.17953,
1388.52928,1.16089,
1388.74217,1.10326,
1388.63573,1.08634,
1388.63573,1.07231,
1388.60912,1.20846,
1388.20995,1.19558,
1388.57186,1.26844,
1388.52928,1.24894,
1388.63573,1.23238,
1388.31639,1.22502,
1389.15275,1.00188,
1388.97872,0.98124,
1388.67121,1.29371,
1389.14666,1.0438,
1389.33353,0.96438,
1389.2744,0.94859,
1389.19161,0.93361,
1389.16795,1.02227,
1389.40019,0.91483,
1389.59373,0.89911,
1389.70018,0.88488,
1389.70018,0.87016,
1389.61739,0.85491,
1389.93435,0.83412,
1390.06682,0.81126,
1390.12595,0.79588,
1390.20199,0.78254,
1390.42163,0.76854,
1390.25605,0.75218,
1390.46464,0.73378,
1390.46894,0.7163,
1390.76462,0.69371,
1391.01299,0.667,
1391.1904,0.64731,
1391.10761,0.63218,
1391.47425,0.61442,
1391.53103,0.59414,
1391.53339,0.57699,
1391.86455,0.55661,
1392.04196,0.53577,
1392.04196,0.52115,
1392.47742,0.50506,
1392.95265,0.49,
1393.14899,0.47427,
1393.83023,0.4613,
1394.4689,0.44575,
1395.27788,0.4314,
1395.84494,0.41373,
1396.86745,0.40637,
1398.20757,0.38973,
1398.42864,0.4102,
1398.78073,0.37027,
1399.9987,0.40204,
1400.13176,0.42515,
1400.38013,0.37961,
1401.64328,0.40684,
1401.84455,0.36648,
1402.15421,0.38958,
1402.04777,0.37639,
1402.99056,0.42311,
1403.21866,0.40261,
1403.00577,0.38743,
1404.08659,0.44224,
1403.85733,0.42377,
1405.52496,0.44293,
1406.66037,0.43266,
1407.60418,0.42358,
1407.88702,0.45209,
1408.09146,0.4716,
1407.58289,0.43481,
1408.48412,0.4935,
1409.74082,0.47487,
1410.03112,0.4925,
1410.82591,0.45204,
1411.2233,0.4314,
1410.88268,0.47375,
1411.92777,0.41574,
1412.99028,0.40592,
1414.22341,0.4179,
1415.67269,0.42732,
1416.35394,0.40767,
1416.87907,0.3895,
1417.34033,0.38299,
1417.49863,0.42865,
1417.98786,0.40721,
1418.36929,0.44807,
1417.69514,0.39341,
1419.09413,0.43021,
1419.71759,0.44462,
1420.65922,0.42334,
1421.31426,0.41284,
1422.6571,0.42257,
1423.64084,0.4053,
1424.72049,0.4168,
1425.18885,0.41052,
1426.2271,0.42533,
1427.95254,0.43021,
1427.67966,0.41153,
1428.18755,0.40327,
1429.16076,0.44808,
1429.51051,0.46678,
1429.5933,0.43041,
1429.58654,0.41746,
1430.41529,0.44539,
1430.80558,0.40591,
1431.02202,0.42285,
1431.71543,0.38776,
1432.5974,0.40752,
1432.5974,0.37674,
1433.10506,0.4266,
1433.15092,0.44778,
1433.60508,0.47142,
