0.9,1.672139413734577e-14,282821988999397.1,2.976827247779946e-14,855137542153450.1, 0.4572001636357399
0.91,1.5977562737544805e-14,263258699144394.78,2.932670489519572e-14,835335306739719.5, 0.5505870835789389
0.92,1.5345655808921334e-14,249271909583720.8,2.894864977255725e-14,810349708101498.0, 0.6395723331990233
0.93,1.4823502387490166e-14,242251752754121.88,2.8632046052165943e-14,779228325636804.5, 0.7206578922177476
0.94,1.4402460404227133e-14,236468013054801.66,2.8374853282418843e-14,746413893275102.2, 0.7915515245355212
0.95,1.4070711207550877e-14,231736598394579.5,2.8169135951669773e-14,720672921501098.0, 0.8512276685298016
0.96,1.3814651934241598e-14,227876682168659.56,2.8008372463147516e-14,689651930790165.0, 0.8997401751047962
0.97,1.3621159755633962e-14,224728065918314.84,2.7885652985118216e-14,652586327002105.6, 0.9379096456777026
0.98,1.3478073301501978e-14,222155954625816.7,2.7794729242321764e-14,616161036722477.8, 0.9669921890574342
0.99,1.337460897456946e-14,220049991269773.7,2.7728432511197117e-14,587629313329481.5, 0.988360650188707
1.0,1.3302195421229825e-14,218321108434478.62,2.7681276711090796e-14,558612547122156.1, 1.0
